ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10365064,HZ100370,12/31/2015 11:59:00 PM,075XX S EMERALD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,621,6,17,68,14,1172605,1854931,2015,01/07/2016 16:14,41.75736652,-87.64299285,"(41.757366519, -87.642992854)"
10364662,HZ100006,12/31/2015 11:55:00 PM,079XX S STONY ISLAND AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,411,4,8,45,04B,1188223,1852840,2015,01/07/2016 16:14,41.75127045,-87.58582237,"(41.751270452, -87.585822373)"
10364740,HZ100010,12/31/2015 11:50:00 PM,024XX W FARGO AVE,820,THEFT,$500 AND UNDER,APARTMENT,false,false,2411,24,50,2,6,1158878,1949369,2015,01/07/2016 16:14,42.01680417,-87.69070866,"(42.016804165, -87.690708662)"
10364683,HZ100002,12/31/2015 11:50:00 PM,037XX N CLARK ST,460,BATTERY,SIMPLE,SIDEWALK,true,false,1923,19,44,6,08B,1167786,1925033,2015,01/07/2016 16:14,41.94983736,-87.6586351,"(41.949837364, -87.658635101)"
10365005,HZ100487,12/31/2015 11:45:00 PM,001XX E WACKER DR,820,THEFT,$500 AND UNDER,STREET,false,false,114,1,42,32,6,1177683,1902638,2015,01/07/2016 16:14,41.88816513,-87.62293721,"(41.888165132, -87.622937212)"
10365142,HZ100722,12/31/2015 11:45:00 PM,001XX E WACKER DR,880,THEFT,PURSE-SNATCHING,SIDEWALK,false,false,114,1,42,32,6,1177683,1902638,2015,01/07/2016 16:14,41.88816513,-87.62293721,"(41.888165132, -87.622937212)"
10366580,HZ102701,12/31/2015 11:45:00 PM,050XX W CONCORD PL,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,2533,25,37,25,14,1142595,1910502,2015,01/07/2016 16:14,41.91046968,-87.75159738,"(41.910469677, -87.751597381)"
10364809,HZ100034,12/31/2015 11:42:00 PM,004XX E RANDOLPH ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,false,true,114,1,42,32,26,1179325,1901333,2015,01/07/2016 16:14,41.88454669,-87.61694731,"(41.884546689, -87.616947314)"
10364668,HY556628,12/31/2015 11:41:00 PM,048XX S JUSTINE ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,true,true,933,9,20,61,26,1166823,1872564,2015,01/07/2016 16:14,41.80587905,-87.6636798,"(41.805879049, -87.663679798)"
10364943,HZ100396,12/31/2015 11:30:00 PM,003XX W 25TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,914,9,11,34,14,1174442,1887387,2015,01/07/2016 16:14,41.84638837,-87.63529456,"(41.846388365, -87.635294564)"
